Label,Value,Year
Reported,301,1985
Cleared,212,1985
Reported,347,1986
Cleared,223,1986
Reported,323,1987
Cleared,222,1987
Reported,366,1988
Cleared,253,1988
Reported,351,1989
Cleared,266,1989
Reported,447,1990
Cleared,313,1990
Reported,500,1991
Cleared,350,1991
Reported,387,1992
Cleared,297,1992
Reported,317,1993
Cleared,248,1993
Reported,295,1994
Cleared,202,1994
Reported,276,1995
Cleared,207,1995
Reported,217,1996
Cleared,154,1996
Reported,209,1997
Cleared,154,1997
Reported,252,1998
Cleared,144,1998
Reported,191,1999
Cleared,128,1999
Reported,231,2000
Cleared,131,2000
Reported,240,2001
Cleared,126,2001
Reported,196,2002
Cleared,122,2002
Reported,226,2003
Cleared,145,2003
Reported,248,2004
Cleared,147,2004
Reported,202,2005
Cleared,150,2005
Reported,187,2006
Cleared,151,2006
Reported,200,2007
Cleared,116,2007
Reported,170,2008
Cleared,111,2008
Reported,166,2009
Cleared,109,2009
Reported,148,2010
Cleared,97,2010
Reported,133,2011
Cleared,86,2011
Reported,154,2012
Cleared,89,2012
Reported,143,2013
Cleared,86,2013
Reported,116,2014
Cleared,67,2014
Reported,136,2015
Cleared,81,2015
Reported,171,2016
Cleared,85,2016
Reported,167,2017
Cleared,133,2017
Reported,155,2018
Cleared,57,2018
