Label,Value,Year
Reported,115132,1985
Cleared,26073,1985
Reported,134651,1986
Cleared,26638,1986
Reported,144366,1987
Cleared,30185,1987
Reported,149267,1988
Cleared,28741,1988
Reported,145223,1989
Cleared,31417,1989
Reported,131717,1990
Cleared,26618,1990
Reported,128518,1991
Cleared,25717,1991
Reported,108400,1992
Cleared,21221,1992
Reported,92623,1993
Cleared,19495,1993
Reported,83821,1994
Cleared,19514,1994
Reported,82655,1995
Cleared,18430,1995
Reported,84121,1996
Cleared,17207,1996
Reported,85709,1997
Cleared,16893,1997
Reported,84662,1998
Cleared,15386,1998
Reported,89509,1999
Cleared,14944,1999
Reported,89008,2000
Cleared,14643,2000
Reported,93230,2001
Cleared,15285,2001
Reported,95022,2002
Cleared,15070,2002
Reported,97900,2003
Cleared,14916,2003
Reported,94066,2004
Cleared,14301,2004
Reported,88955,2005
Cleared,12640,2005
Reported,85592,2006
Cleared,10949,2006
Reported,83962,2007
Cleared,11255,2007
Reported,75759,2008
Cleared,10422,2008
Reported,71364,2009
Cleared,8965,2009
Reported,64125,2010
Cleared,7932,2010
Reported,61859,2011
Cleared,7730,2011
Reported,54300,2012
Cleared,5875,2012
Reported,52274,2013
Cleared,5616,2013
Reported,45669,2014
Cleared,4896,2014
Reported,44791,2015
Cleared,4089,2015
Reported,44910,2016
Cleared,3236,2016
Reported,42634,2017
Cleared,3106,2017
Reported,44503,2018
Cleared,2257,2018
