Label,Value,Year
Reported,6051,1985
Cleared,1682,1985
Reported,9289,1986
Cleared,2562,1986
Reported,9091,1987
Cleared,2558,1987
Reported,9647,1988
Cleared,2672,1988
Reported,9442,1989
Cleared,2790,1989
Reported,10565,1990
Cleared,2722,1990
Reported,11254,1991
Cleared,2869,1991
Reported,9532,1992
Cleared,2724,1992
Reported,7420,1993
Cleared,2153,1993
Reported,7077,1994
Cleared,1889,1994
Reported,5899,1995
Cleared,1557,1995
Reported,6122,1996
Cleared,1483,1996
Reported,5626,1997
Cleared,1416,1997
Reported,5878,1998
Cleared,1288,1998
Reported,6357,1999
Cleared,1355,1999
Reported,7046,2000
Cleared,1346,2000
Reported,8330,2001
Cleared,1571,2001
Reported,8041,2002
Cleared,1585,2002
Reported,7963,2003
Cleared,1506,2003
Reported,7466,2004
Cleared,1385,2004
Reported,6882,2005
Cleared,1302,2005
Reported,6914,2006
Cleared,1312,2006
Reported,7222,2007
Cleared,1252,2007
Reported,6466,2008
Cleared,1153,2008
Reported,5501,2009
Cleared,987,2009
Reported,4487,2010
Cleared,811,2010
Reported,4066,2011
Cleared,761,2011
Reported,4093,2012
Cleared,707,2012
Reported,4202,2013
Cleared,677,2013
Reported,3856,2014
Cleared,655,2014
Reported,4177,2015
Cleared,680,2015
Reported,4604,2016
Cleared,777,2016
Reported,4377,2017
Cleared,838,2017
Reported,3987,2018
Cleared,400,2018
