Label,Value,Year
Reported,14364,1985
Cleared,7557,1985
Reported,19275,1986
Cleared,9677,1986
Reported,20086,1987
Cleared,10547,1987
Reported,21135,1988
Cleared,10524,1988
Reported,21228,1989
Cleared,10641,1989
Reported,24550,1990
Cleared,11211,1990
Reported,26411,1991
Cleared,11767,1991
Reported,21682,1992
Cleared,10022,1992
Reported,18176,1993
Cleared,8777,1993
Reported,16886,1994
Cleared,7725,1994
Reported,15969,1995
Cleared,7550,1995
Reported,16280,1996
Cleared,7463,1996
Reported,14915,1997
Cleared,7047,1997
Reported,15932,1998
Cleared,7071,1998
Reported,15435,1999
Cleared,6625,1999
Reported,16042,2000
Cleared,6064,2000
Reported,17776,2001
Cleared,5965,2001
Reported,17018,2002
Cleared,5487,2002
Reported,16865,2003
Cleared,5454,2003
Reported,16165,2004
Cleared,5110,2004
Reported,15429,2005
Cleared,4903,2005
Reported,15058,2006
Cleared,4763,2006
Reported,13248,2007
Cleared,3908,2007
Reported,11420,2008
Cleared,3511,2008
Reported,10221,2009
Cleared,3126,2009
Reported,9161,2010
Cleared,3417,2010
Reported,8330,2011
Cleared,3137,2011
Reported,8380,2012
Cleared,3336,2012
Reported,8330,2013
Cleared,3048,2013
Reported,8457,2014
Cleared,3053,2014
Reported,9038,2015
Cleared,3195,2015
Reported,10071,2016
Cleared,3622,2016
Reported,10369,2017
Cleared,3871,2017
Reported,11018,2018
Cleared,2136,2018
