year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,TXDPD0000,14364,7557,301,212,6051,1682,6863,5043,115132,26073,760,137,31460,5296,73401,18571,10271,2206
1986,TXDPD0000,19275,9677,347,223,9289,2562,8384,6223,134651,26638,937,163,37703,6282,80734,17905,16214,2451
1987,TXDPD0000,20086,10547,323,222,9091,2558,9412,6996,144366,30185,943,209,39237,6957,85255,20580,19874,2648
1988,TXDPD0000,21135,10524,366,253,9647,2672,9816,6848,149267,28741,1370,305,42543,7249,82366,18541,24358,2951
1989,TXDPD0000,21228,10641,351,266,9442,2790,10250,6892,145223,31417,1398,444,38652,7840,79272,19911,27299,3666
1990,TXDPD0000,24550,11211,447,313,10565,2722,12194,7433,131717,26618,1555,432,32975,6809,74229,16735,24513,3074
1991,TXDPD0000,26411,11767,500,350,11254,2869,13449,7883,128518,25717,1527,432,31513,5447,71920,17490,25085,2780
1992,TXDPD0000,21682,10022,387,297,9532,2724,10667,6424,108400,21221,1371,394,24806,3985,63079,14808,20515,2428
1993,TXDPD0000,18176,8777,317,248,7420,2153,9439,5840,92623,19495,1324,306,20975,3428,54183,13848,17465,2219
1994,TXDPD0000,16886,7725,295,202,7077,1889,8557,5123,83821,19514,1368,300,17860,3029,48268,14474,17693,2011
1995,TXDPD0000,15969,7550,276,207,5899,1557,8942,5332,82655,18430,1427,347,16705,2347,49068,14154,16882,1929
1996,TXDPD0000,16280,7463,217,154,6122,1483,9201,5410,84121,17207,1687,368,17960,2163,49018,13280,17143,1764
1997,TXDPD0000,14915,7047,209,154,5626,1416,8336,5104,85709,16893,1530,282,17755,1920,50586,13037,17368,1936
1998,TXDPD0000,15932,7071,252,144,5878,1288,9078,5294,84662,15386,1380,257,18755,1815,49281,11748,16626,1823
1999,TXDPD0000,15435,6625,191,128,6357,1355,8224,4806,89509,14944,1398,165,19629,1798,52026,11191,17854,1955
2000,TXDPD0000,16042,6064,231,131,7046,1346,8132,4268,89008,14643,1380,254,20300,2163,50777,10737,17931,1743
2001,TXDPD0000,17776,5965,240,126,8330,1571,8546,3976,93230,15285,1655,325,20635,1891,53611,11486,18984,1908
2002,TXDPD0000,17018,5487,196,122,8041,1585,8125,3470,95022,15070,1567,384,20351,1615,56306,11783,18365,1672
2003,TXDPD0000,16865,5454,226,145,7963,1506,8075,3516,97900,14916,1301,308,21927,1931,58554,11510,17419,1475
2004,TXDPD0000,16165,5110,248,147,7466,1385,7863,3286,94066,14301,1141,192,23126,1937,55059,10943,15881,1421
2005,TXDPD0000,15429,4903,202,150,6882,1302,7783,3158,88955,12640,984,180,22363,1818,52315,9613,14277,1209
2006,TXDPD0000,15058,4763,187,151,6914,1312,7292,2976,85592,10949,1058,236,21653,1674,50009,8257,13930,1018
2007,TXDPD0000,13248,3908,200,116,7222,1252,5315,2241,83962,11255,909,229,22472,1433,47699,8520,13791,1302
2008,TXDPD0000,11420,3511,170,111,6466,1153,4285,1942,75759,10422,900,200,21149,1326,42402,7800,12208,1296
2009,TXDPD0000,10221,3126,166,109,5501,987,4069,1805,71364,8965,758,160,19428,1042,41481,7095,10455,828
2010,TXDPD0000,9161,3417,148,97,4487,811,4021,2220,64125,7932,642,174,19594,985,36147,6401,8384,546
2011,TXDPD0000,8330,3137,133,86,4066,761,3703,2059,61859,7730,596,120,18727,975,35148,6225,7984,530
2012,TXDPD0000,8380,3336,154,89,4093,707,3647,2255,54300,5875,581,132,16090,845,31148,4535,7062,495
2013,TXDPD0000,8330,3048,143,86,4202,677,3442,2038,52274,5616,455,65,14516,717,30374,4444,7384,455
2014,TXDPD0000,8457,3053,116,67,3856,655,3704,1897,45669,4896,385,75,11685,625,26939,3862,7045,409
2015,TXDPD0000,9038,3195,136,81,4177,680,3943,2008,44791,4089,349,78,11121,504,26076,3096,7594,489
2016,TXDPD0000,10071,3622,171,85,4604,777,4529,2309,44910,3236,369,74,10948,493,26370,2079,7592,664
2017,TXDPD0000,10369,3871,167,133,4377,838,4994,2442,42634,3106,151,31,9874,482,24847,1801,7913,823
2018,TXDPD0000,11018,2136,155,57,3987,400,5456,1448,44503,2257,150,5,9125,281,25698,1343,9680,633
