Series,Year,Rate
1985,Male Officers,1919
1985,Female Officers,251
1985,Male Civilians,87
1985,Female Civilians,424
1986,Male Officers,2018
1986,Female Officers,272
1986,Male Civilians,94
1986,Female Civilians,468
1987,Male Officers,2083
1987,Female Officers,317
1987,Male Civilians,93
1987,Female Civilians,467
1988,Male Officers,2067
1988,Female Officers,314
1988,Male Civilians,192
1988,Female Civilians,588
1989,Male Officers,2142
1989,Female Officers,330
1989,Male Civilians,220
1989,Female Civilians,624
1990,Male Officers,2385
1990,Female Officers,362
1990,Male Civilians,225
1990,Female Civilians,620
1991,Male Officers,2469
1991,Female Officers,388
1991,Male Civilians,219
1991,Female Civilians,590
1992,Male Officers,2479
1992,Female Officers,403
1992,Male Civilians,169
1992,Female Civilians,553
1993,Male Officers,2408
1993,Female Officers,399
1993,Male Civilians,170
1993,Female Civilians,548
1994,Male Officers,2372
1994,Female Officers,405
1994,Male Civilians,164
1994,Female Civilians,494
1995,Male Officers,2417
1995,Female Officers,416
1995,Male Civilians,172
1995,Female Civilians,534
1996,Male Officers,2391
1996,Female Officers,431
1996,Male Civilians,174
1996,Female Civilians,557
1997,Male Officers,2385
1997,Female Officers,458
1997,Male Civilians,172
1997,Female Civilians,536
1998,Male Officers,2395
1998,Female Officers,460
1998,Male Civilians,169
1998,Female Civilians,536
1999,Male Officers,2417
1999,Female Officers,456
1999,Male Civilians,174
1999,Female Civilians,550
2000,Male Officers,2409
2000,Female Officers,454
2000,Male Civilians,145
2000,Female Civilians,497
2001,Male Officers,2433
2001,Female Officers,459
2001,Male Civilians,135
2001,Female Civilians,476
2002,Male Officers,2378
2002,Female Officers,468
2002,Male Civilians,124
2002,Female Civilians,431
2003,Male Officers,2474
2003,Female Officers,499
2003,Male Civilians,116
2003,Female Civilians,421
2004,Male Officers,2430
2004,Female Officers,499
2004,Male Civilians,114
2004,Female Civilians,393
2005,Male Officers,2450
2005,Female Officers,520
2005,Male Civilians,132
2005,Female Civilians,416
2006,Male Officers,2522
2006,Female Officers,521
2006,Male Civilians,128
2006,Female Civilians,439
2007,Male Officers,2673
2007,Female Officers,539
2007,Male Civilians,138
2007,Female Civilians,466
2008,Male Officers,2818
2008,Female Officers,575
2008,Male Civilians,178
2008,Female Civilians,625
2009,Male Officers,2979
2009,Female Officers,598
2009,Male Civilians,131
2009,Female Civilians,433
2010,Male Officers,3051
2010,Female Officers,615
2010,Male Civilians,140
2010,Female Civilians,435
2011,Male Officers,2923
2011,Female Officers,588
2011,Male Civilians,132
2011,Female Civilians,409
2012,Male Officers,2395
2012,Female Officers,460
2012,Male Civilians,169
2012,Female Civilians,536
2013,Male Officers,2868
2013,Female Officers,606
2013,Male Civilians,134
2013,Female Civilians,420
2014,Male Officers,2918
2014,Female Officers,625
2014,Male Civilians,130
2014,Female Civilians,413
2015,Male Officers,2844
2015,Female Officers,640
2015,Male Civilians,129
2015,Female Civilians,427
2016,Male Officers,2666
2016,Female Officers,613
2016,Male Civilians,134
2016,Female Civilians,416
2017,Male Officers,2484
2017,Female Officers,569
2017,Male Civilians,147
2017,Female Civilians,458
2018,Male Officers,2440
2018,Female Officers,567
2018,Male Civilians,131
2018,Female Civilians,443
