Label,Value,Year
Reported,4704,1985
Cleared,2241,1985
Reported,7718,1986
Cleared,3862,1986
Reported,7784,1987
Cleared,3545,1987
Reported,8122,1988
Cleared,2863,1988
Reported,8097,1989
Cleared,2511,1989
Reported,7813,1990
Cleared,2878,1990
Reported,10947,1991
Cleared,4802,1991
Reported,12073,1992
Cleared,6431,1992
Reported,12742,1993
Cleared,6856,1993
Reported,11699,1994
Cleared,5815,1994
Reported,11885,1995
Cleared,5275,1995
Reported,12917,1996
Cleared,5450,1996
Reported,11967,1997
Cleared,5795,1997
Reported,11564,1998
Cleared,4792,1998
Reported,12178,1999
Cleared,6175,1999
Reported,12192,2000
Cleared,5854,2000
Reported,12286,2001
Cleared,5554,2001
Reported,12598,2002
Cleared,5217,2002
Reported,11957,2003
Cleared,4601,2003
Reported,12065,2004
Cleared,3981,2004
Reported,11653,2005
Cleared,3452,2005
Reported,11648,2006
Cleared,3590,2006
Reported,12040,2007
Cleared,3473,2007
Reported,13132,2008
Cleared,5353,2008
Reported,13116,2009
Cleared,6345,2009
Reported,12061,2010
Cleared,6796,2010
Reported,11869,2011
Cleared,6853,2011
Reported,11343,2012
Cleared,5974,2012
Reported,10270,2013
Cleared,5311,2013
Reported,10768,2014
Cleared,4092,2014
Reported,10427,2015
Cleared,4373,2015
Reported,12487,2016
Cleared,5617,2016
Reported,14201,2017
Cleared,6390,2017
Reported,13819,2018
Cleared,5439,2018
