Label,Value,Year
Reported,1979,1985
Cleared,427,1985
Reported,1885,1986
Cleared,419,1986
Reported,1753,1987
Cleared,207,1987
Reported,1784,1988
Cleared,323,1988
Reported,1974,1989
Cleared,227,1989
Reported,2015,1990
Cleared,194,1990
Reported,1877,1991
Cleared,213,1991
Reported,1714,1992
Cleared,227,1992
Reported,1549,1993
Cleared,208,1993
Reported,1590,1994
Cleared,325,1994
Reported,1492,1995
Cleared,288,1995
Reported,1753,1996
Cleared,202,1996
Reported,1581,1997
Cleared,258,1997
Reported,1641,1998
Cleared,285,1998
Reported,1735,1999
Cleared,262,1999
Reported,1642,2000
Cleared,198,2000
Reported,1758,2001
Cleared,204,2001
Reported,1696,2002
Cleared,165,2002
Reported,1553,2003
Cleared,178,2003
Reported,1255,2004
Cleared,158,2004
Reported,1262,2005
Cleared,183,2005
Reported,1121,2006
Cleared,188,2006
Reported,1047,2007
Cleared,164,2007
Reported,956,2008
Cleared,158,2008
Reported,959,2009
Cleared,144,2009
Reported,865,2010
Cleared,142,2010
Reported,765,2011
Cleared,129,2011
Reported,754,2012
Cleared,176,2012
Reported,708,2013
Cleared,100,2013
Reported,716,2014
Cleared,88,2014
Reported,671,2015
Cleared,94,2015
Reported,668,2016
Cleared,105,2016
Reported,442,2017
Cleared,76,2017
Reported,0,2018
Cleared,0,2018
