Label,Value,Year
Reported,40207,1985
Cleared,4030,1985
Reported,44530,1986
Cleared,3856,1986
Reported,44601,1987
Cleared,3423,1987
Reported,50178,1988
Cleared,3778,1988
Reported,47043,1989
Cleared,3874,1989
Reported,42986,1990
Cleared,3319,1990
Reported,39726,1991
Cleared,3091,1991
Reported,30207,1992
Cleared,2622,1992
Reported,27022,1993
Cleared,2313,1993
Reported,25518,1994
Cleared,2236,1994
Reported,24830,1995
Cleared,2323,1995
Reported,25402,1996
Cleared,2368,1996
Reported,23967,1997
Cleared,2180,1997
Reported,23065,1998
Cleared,2011,1998
Reported,24744,1999
Cleared,2155,1999
Reported,23254,2000
Cleared,1816,2000
Reported,25108,2001
Cleared,1961,2001
Reported,26905,2002
Cleared,2150,2002
Reported,26522,2003
Cleared,1855,2003
Reported,27110,2004
Cleared,1938,2004
Reported,27541,2005
Cleared,1461,2005
Reported,26869,2006
Cleared,1590,2006
Reported,29044,2007
Cleared,1985,2007
Reported,26947,2008
Cleared,1961,2008
Reported,29279,2009
Cleared,2327,2009
Reported,27924,2010
Cleared,2368,2010
Reported,27459,2011
Cleared,2220,2011
Reported,26630,2012
Cleared,2048,2012
Reported,23733,2013
Cleared,1800,2013
Reported,21629,2014
Cleared,1265,2014
Reported,19859,2015
Cleared,1238,2015
Reported,18488,2016
Cleared,1265,2016
Reported,17108,2017
Cleared,1249,2017
Reported,16223,2018
Cleared,893,2018
