Label,Value,Year
Reported,31746,1985
Cleared,2342,1985
Reported,34188,1986
Cleared,2336,1986
Reported,28650,1987
Cleared,2180,1987
Reported,30425,1988
Cleared,2419,1988
Reported,37005,1989
Cleared,3007,1989
Reported,40853,1990
Cleared,3087,1990
Reported,40162,1991
Cleared,2969,1991
Reported,30938,1992
Cleared,2558,1992
Reported,27519,1993
Cleared,2184,1993
Reported,22630,1994
Cleared,2066,1994
Reported,22536,1995
Cleared,1906,1995
Reported,22391,1996
Cleared,1809,1996
Reported,20795,1997
Cleared,1634,1997
Reported,20499,1998
Cleared,1449,1998
Reported,19445,1999
Cleared,1347,1999
Reported,19864,2000
Cleared,1456,2000
Reported,24089,2001
Cleared,1545,2001
Reported,23939,2002
Cleared,1586,2002
Reported,21451,2003
Cleared,1419,2003
Reported,21563,2004
Cleared,1336,2004
Reported,20408,2005
Cleared,1015,2005
Reported,21093,2006
Cleared,1265,2006
Reported,19465,2007
Cleared,1279,2007
Reported,15214,2008
Cleared,1083,2008
Reported,14596,2009
Cleared,1085,2009
Reported,12817,2010
Cleared,883,2010
Reported,12281,2011
Cleared,748,2011
Reported,13070,2012
Cleared,726,2012
Reported,13595,2013
Cleared,831,2013
Reported,14443,2014
Cleared,701,2014
Reported,13560,2015
Cleared,866,2015
Reported,12738,2016
Cleared,1013,2016
Reported,11596,2017
Cleared,794,2017
Reported,11964,2018
Cleared,559,2018
