year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,TXHPD0000,4704,2241,1979,427,40207,4030,457,339,67496,8241,31746,2342,139449,14613,9589,2130,16461,5854
1986,TXHPD0000,7718,3862,1885,419,44530,3856,408,302,68856,11150,34188,2336,147574,17342,10926,2242,20576,7199
1987,TXHPD0000,7784,3545,1753,207,44601,3423,323,232,71206,12232,28650,2180,144457,17835,9692,2276,18971,6633
1988,TXHPD0000,8122,2863,1784,323,50178,3778,440,276,77492,12763,30425,2419,158095,18960,10049,2089,19817,5733
1989,TXHPD0000,8097,2511,1974,227,47043,3874,459,289,81758,14152,37005,3007,165806,21033,9820,2118,19528,5445
1990,TXHPD0000,7813,2878,2015,194,42986,3319,568,343,78393,14095,40853,3087,162232,20501,12921,2639,22637,6486
1991,TXHPD0000,10947,4802,1877,213,39726,3091,608,404,73769,14869,40162,2969,153657,20929,13883,2743,26651,8577
1992,TXHPD0000,12073,6431,1714,227,30207,2622,465,310,62302,13947,30938,2558,123447,19127,11130,2731,24837,10102
1993,TXHPD0000,12742,6856,1549,208,27022,2313,446,288,61569,12638,27519,2184,116110,17135,10772,2762,25069,10463
1994,TXHPD0000,11699,5815,1590,325,25518,2236,375,244,56945,12381,22630,2066,105093,16683,9981,2566,22986,9111
1995,TXHPD0000,11885,5275,1492,288,24830,2323,316,209,61976,12429,22536,1906,109342,16658,9222,2494,22260,8385
1996,TXHPD0000,12917,5450,1753,202,25402,2368,261,179,65080,13437,22391,1809,112873,17614,8276,2182,22456,8283
1997,TXHPD0000,11967,5795,1581,258,23967,2180,254,166,64925,12309,20795,1634,109687,16123,8146,1896,21157,8227
1998,TXHPD0000,11564,4792,1641,285,23065,2011,254,178,64070,10711,20499,1449,107634,14171,7711,2051,20183,7351
1999,TXHPD0000,12178,6175,1735,262,24744,2155,241,160,66068,10193,19445,1347,110257,13695,8350,2229,21517,8951
2000,TXHPD0000,12192,5854,1642,198,23254,1816,230,151,67102,9955,19864,1456,110220,13227,8256,1945,21491,8318
2001,TXHPD0000,12286,5554,1758,204,25108,1961,267,177,69371,9489,24089,1545,118568,12995,9921,2018,23419,8073
2002,TXHPD0000,12598,5217,1696,165,26905,2150,256,185,73445,10225,23939,1586,124289,13961,11212,2463,24958,8178
2003,TXHPD0000,11957,4601,1553,178,26522,1855,278,159,72032,10032,21451,1419,120005,13306,10985,2338,23988,7343
2004,TXHPD0000,12065,3981,1255,158,27110,1938,272,162,74752,10104,21563,1336,123425,13378,10182,2300,23427,6716
2005,TXHPD0000,11653,3452,1262,183,27541,1461,334,197,72476,8191,20408,1015,120425,10667,11128,1833,23987,5723
2006,TXHPD0000,11648,3590,1121,188,26869,1590,377,264,73091,8372,21093,1265,121053,11227,11371,2152,24250,6246
2007,TXHPD0000,12040,3473,1047,164,29044,1985,351,272,74817,9477,19465,1279,123326,12741,11479,2094,24564,6098
2008,TXHPD0000,13132,5353,956,158,26947,1961,294,262,68598,9219,15214,1083,110759,12263,10603,2477,24779,8383
2009,TXHPD0000,13116,6345,959,144,29279,2327,287,202,77058,10791,14596,1085,120933,14203,11367,2703,25593,9622
2010,TXHPD0000,12061,6796,865,142,27924,2368,269,234,74582,11191,12817,883,115323,14442,9449,2458,22491,9864
2011,TXHPD0000,11869,6853,765,129,27459,2220,198,178,68596,10719,12281,748,108336,13687,8054,2109,20892,9531
2012,TXHPD0000,11343,5974,754,176,26630,2048,217,152,67978,9875,13070,726,107678,12649,9385,2074,21610,8511
2013,TXHPD0000,10270,5311,708,100,23733,1800,214,162,73591,9655,13595,831,110919,12286,9891,2084,20993,7830
2014,TXHPD0000,10768,4092,716,88,21629,1265,242,171,68125,7680,14443,701,104197,9646,10186,1483,22008,5943
2015,TXHPD0000,10427,4373,671,94,19859,1238,303,190,66634,7270,13560,866,100053,9374,10278,1951,21994,6901
2016,TXHPD0000,12487,5617,668,105,18488,1265,301,168,69630,6408,12738,1013,100856,8686,9962,2004,23960,8336
2017,TXHPD0000,14201,6390,442,76,17108,1249,269,138,67828,5468,11596,794,96532,7511,9773,1774,25609,8830
2018,TXHPD0000,13819,5439,0,0,16223,893,278,121,65836,4749,11964,559,94023,6201,8787,1303,24667,7230
