Series,Year,Rate
1985,Male Officers,3985
1985,Female Officers,378
1985,Male Civilians,556
1985,Female Civilians,789
1986,Male Officers,4197
1986,Female Officers,421
1986,Male Civilians,394
1986,Female Civilians,790
1987,Male Officers,4034
1987,Female Officers,411
1987,Male Civilians,381
1987,Female Civilians,729
1988,Male Officers,3873
1988,Female Officers,397
1988,Male Civilians,336
1988,Female Civilians,665
1989,Male Officers,3703
1989,Female Officers,385
1989,Male Civilians,524
1989,Female Civilians,842
1990,Male Officers,3707
1990,Female Officers,397
1990,Male Civilians,576
1990,Female Civilians,973
1991,Male Officers,3674
1991,Female Officers,403
1991,Male Civilians,578
1991,Female Civilians,1077
1992,Male Officers,3792
1992,Female Officers,409
1992,Male Civilians,706
1992,Female Civilians,1114
1993,Male Officers,4240
1993,Female Officers,494
1993,Male Civilians,724
1993,Female Civilians,1242
1994,Male Officers,4388
1994,Female Officers,547
1994,Male Civilians,742
1994,Female Civilians,1315
1995,Male Officers,4578
1995,Female Officers,592
1995,Male Civilians,772
1995,Female Civilians,1326
1996,Male Officers,4640
1996,Female Officers,612
1996,Male Civilians,749
1996,Female Civilians,1334
1997,Male Officers,4678
1997,Female Officers,632
1997,Male Civilians,769
1997,Female Civilians,1318
1998,Male Officers,4803
1998,Female Officers,650
1998,Male Civilians,686
1998,Female Civilians,1272
1999,Male Officers,4779
1999,Female Officers,664
1999,Male Civilians,675
1999,Female Civilians,1273
2000,Male Officers,4752
2000,Female Officers,685
2000,Male Civilians,581
2000,Female Civilians,1272
2001,Male Officers,4713
2001,Female Officers,681
2001,Male Civilians,554
2001,Female Civilians,1224
2002,Male Officers,4672
2002,Female Officers,688
2002,Male Civilians,563
2002,Female Civilians,1161
2003,Male Officers,4676
2003,Female Officers,696
2003,Male Civilians,523
2003,Female Civilians,909
2004,Male Officers,4406
2004,Female Officers,663
2004,Male Civilians,419
2004,Female Civilians,810
2005,Male Officers,4161
2005,Female Officers,618
2005,Male Civilians,438
2005,Female Civilians,810
2006,Male Officers,4143
2006,Female Officers,638
2006,Male Civilians,597
2006,Female Civilians,845
2007,Male Officers,4236
2007,Female Officers,656
2007,Male Civilians,590
2007,Female Civilians,856
2008,Male Officers,4367
2008,Female Officers,681
2008,Male Civilians,680
2008,Female Civilians,1022
2009,Male Officers,4618
2009,Female Officers,753
2009,Male Civilians,658
2009,Female Civilians,1110
2010,Male Officers,4583
2010,Female Officers,768
2010,Male Civilians,624
2010,Female Civilians,1079
2011,Male Officers,4523
2011,Female Officers,771
2011,Male Civilians,383
2011,Female Civilians,854
2012,Male Officers,4520
2012,Female Officers,798
2012,Male Civilians,464
2012,Female Civilians,881
2013,Male Officers,4803
2013,Female Officers,650
2013,Male Civilians,686
2013,Female Civilians,1272
2014,Male Officers,4445
2014,Female Officers,807
2014,Male Civilians,463
2014,Female Civilians,889
2015,Male Officers,4363
2015,Female Officers,815
2015,Male Civilians,530
2015,Female Civilians,869
2016,Male Officers,4356
2016,Female Officers,826
2016,Male Civilians,588
2016,Female Civilians,862
2017,Male Officers,4375
2017,Female Officers,846
2017,Male Civilians,339
2017,Female Civilians,774
2018,Male Officers,4365
2018,Female Officers,864
2018,Male Civilians,316
2018,Female Civilians,713
