Label,Value,Year
Reported,573,1985
Cleared,37,1985
Reported,718,1986
Cleared,37,1986
Reported,864,1987
Cleared,40,1987
Reported,916,1988
Cleared,50,1988
Reported,899,1989
Cleared,47,1989
Reported,846,1990
Cleared,54,1990
Reported,1015,1991
Cleared,19,1991
Reported,1040,1992
Cleared,14,1992
Reported,958,1993
Cleared,12,1993
Reported,865,1994
Cleared,3,1994
Reported,834,1995
Cleared,15,1995
Reported,891,1996
Cleared,69,1996
Reported,798,1997
Cleared,58,1997
Reported,633,1998
Cleared,41,1998
Reported,626,1999
Cleared,48,1999
Reported,654,2000
Cleared,41,2000
Reported,576,2001
Cleared,49,2001
Reported,533,2002
Cleared,34,2002
Reported,540,2003
Cleared,17,2003
Reported,476,2004
Cleared,7,2004
Reported,424,2005
Cleared,10,2005
Reported,484,2006
Cleared,7,2006
Reported,459,2007
Cleared,23,2007
Reported,521,2008
Cleared,45,2008
Reported,416,2009
Cleared,22,2009
Reported,327,2010
Cleared,17,2010
Reported,209,2011
Cleared,13,2011
Reported,245,2012
Cleared,14,2012
Reported,315,2013
Cleared,16,2013
Reported,298,2014
Cleared,7,2014
Reported,261,2015
Cleared,9,2015
Reported,254,2016
Cleared,15,2016
Reported,184,2017
Cleared,13,2017
Reported,153,2018
Cleared,17,2018
