Label,Value,Year
Reported,7504,1985
Cleared,1028,1985
Reported,8130,1986
Cleared,1313,1986
Reported,13617,1987
Cleared,2153,1987
Reported,13201,1988
Cleared,2181,1988
Reported,15263,1989
Cleared,2177,1989
Reported,14879,1990
Cleared,1429,1990
Reported,14413,1991
Cleared,1693,1991
Reported,14722,1992
Cleared,933,1992
Reported,11796,1993
Cleared,991,1993
Reported,9876,1994
Cleared,1227,1994
Reported,8422,1995
Cleared,1234,1995
Reported,8796,1996
Cleared,1280,1996
Reported,8616,1997
Cleared,902,1997
Reported,7154,1998
Cleared,952,1998
Reported,5595,1999
Cleared,732,1999
Reported,5868,2000
Cleared,425,2000
Reported,6240,2001
Cleared,415,2001
Reported,5744,2002
Cleared,767,2002
Reported,6202,2003
Cleared,437,2003
Reported,5667,2004
Cleared,503,2004
Reported,5973,2005
Cleared,434,2005
Reported,6615,2006
Cleared,526,2006
Reported,6724,2007
Cleared,622,2007
Reported,8005,2008
Cleared,600,2008
Reported,5803,2009
Cleared,448,2009
Reported,5657,2010
Cleared,362,2010
Reported,5893,2011
Cleared,331,2011
Reported,6367,2012
Cleared,340,2012
Reported,6577,2013
Cleared,469,2013
Reported,7140,2014
Cleared,384,2014
Reported,6176,2015
Cleared,256,2015
Reported,7233,2016
Cleared,280,2016
Reported,6864,2017
Cleared,538,2017
Reported,6089,2018
Cleared,689,2018
