Label,Value,Year
Reported,78198,1985
Cleared,11158,1985
Reported,93972,1986
Cleared,13761,1986
Reported,112856,1987
Cleared,15585,1987
Reported,111500,1988
Cleared,16102,1988
Reported,115515,1989
Cleared,16571,1989
Reported,111044,1990
Cleared,13842,1990
Reported,109913,1991
Cleared,7477,1991
Reported,102003,1992
Cleared,4033,1992
Reported,90946,1993
Cleared,7056,1993
Reported,81208,1994
Cleared,10418,1994
Reported,74753,1995
Cleared,9589,1995
Reported,82969,1996
Cleared,9962,1996
Reported,79401,1997
Cleared,7454,1997
Reported,72439,1998
Cleared,8526,1998
Reported,70437,1999
Cleared,7460,1999
Reported,78424,2000
Cleared,6877,2000
Reported,86952,2001
Cleared,7375,2001
Reported,84363,2002
Cleared,8831,2002
Reported,83000,2003
Cleared,9237,2003
Reported,81255,2004
Cleared,8687,2004
Reported,80987,2005
Cleared,8485,2005
Reported,78621,2006
Cleared,8792,2006
Reported,84143,2007
Cleared,10361,2007
Reported,97564,2008
Cleared,10731,2008
Reported,91651,2009
Cleared,11359,2009
Reported,88353,2010
Cleared,12788,2010
Reported,80868,2011
Cleared,9604,2011
Reported,82668,2012
Cleared,9306,2012
Reported,79994,2013
Cleared,9573,2013
Reported,77392,2014
Cleared,9250,2014
Reported,73611,2015
Cleared,7487,2015
Reported,77786,2016
Cleared,5826,2016
Reported,73676,2017
Cleared,5681,2017
Reported,61478,2018
Cleared,5848,2018
