Label,Value,Year
Legacy Rape Reported,824,1985
Legacy Rape Cleared,527,1985
Legacy Rape Reported,805,1986
Legacy Rape Cleared,518,1986
Legacy Rape Reported,849,1987
Legacy Rape Cleared,510,1987
Legacy Rape Reported,535,1988
Legacy Rape Cleared,387,1988
Legacy Rape Reported,477,1989
Legacy Rape Cleared,410,1989
Legacy Rape Reported,430,1990
Legacy Rape Cleared,371,1990
Legacy Rape Reported,698,1991
Legacy Rape Cleared,493,1991
Legacy Rape Reported,616,1992
Legacy Rape Cleared,452,1992
Legacy Rape Reported,553,1993
Legacy Rape Cleared,479,1993
Legacy Rape Reported,565,1994
Legacy Rape Cleared,447,1994
Legacy Rape Reported,658,1995
Legacy Rape Cleared,510,1995
Legacy Rape Reported,637,1996
Legacy Rape Cleared,487,1996
Legacy Rape Reported,618,1997
Legacy Rape Cleared,374,1997
Legacy Rape Reported,734,1998
Legacy Rape Cleared,448,1998
Legacy Rape Reported,599,1999
Legacy Rape Cleared,381,1999
Legacy Rape Reported,456,2000
Legacy Rape Cleared,168,2000
Legacy Rape Reported,492,2001
Legacy Rape Cleared,130,2001
Legacy Rape Reported,464,2002
Legacy Rape Cleared,146,2002
Legacy Rape Reported,537,2003
Legacy Rape Cleared,236,2003
Legacy Rape Reported,677,2004
Legacy Rape Cleared,225,2004
Legacy Rape Reported,593,2005
Legacy Rape Cleared,256,2005
Legacy Rape Reported,514,2006
Legacy Rape Cleared,230,2006
Legacy Rape Reported,635,2007
Legacy Rape Cleared,230,2007
Legacy Rape Reported,424,2008
Legacy Rape Cleared,161,2008
Legacy Rape Reported,628,2009
Legacy Rape Cleared,170,2009
Legacy Rape Reported,467,2010
Legacy Rape Cleared,179,2010
Legacy Rape Reported,492,2011
Legacy Rape Cleared,192,2011
Legacy Rape Reported,549,2012
Legacy Rape Cleared,193,2012
Legacy Rape Reported,663,2013
Legacy Rape Cleared,256,2013
Revised Rape Reported,1077,2014
Revised Rape Cleared,236,2014
Revised Rape Reported,1049,2015
Revised Rape Cleared,171,2015
Revised Rape Reported,1190,2016
Revised Rape Cleared,150,2016
Revised Rape Reported,1270,2017
Revised Rape Cleared,212,2017
Revised Rape Reported,1346,2018
Revised Rape Cleared,194,2018
