Label,Value,Year
Reported,2683,1985
Cleared,843,1985
Reported,3262,1986
Cleared,1053,1986
Reported,3253,1987
Cleared,1159,1987
Reported,2859,1988
Cleared,1143,1988
Reported,2710,1989
Cleared,974,1989
Reported,2864,1990
Cleared,1104,1990
Reported,3778,1991
Cleared,1162,1991
Reported,3485,1992
Cleared,987,1992
Reported,2979,1993
Cleared,889,1993
Reported,2781,1994
Cleared,621,1994
Reported,2345,1995
Cleared,570,1995
Reported,2350,1996
Cleared,539,1996
Reported,2036,1997
Cleared,493,1997
Reported,1780,1998
Cleared,415,1998
Reported,1674,1999
Cleared,375,1999
Reported,1699,2000
Cleared,295,2000
Reported,2146,2001
Cleared,480,2001
Reported,2114,2002
Cleared,369,2002
Reported,2060,2003
Cleared,411,2003
Reported,2127,2004
Cleared,326,2004
Reported,2154,2005
Cleared,388,2005
Reported,2321,2006
Cleared,450,2006
Reported,2445,2007
Cleared,421,2007
Reported,2743,2008
Cleared,410,2008
Reported,2683,2009
Cleared,492,2009
Reported,2360,2010
Cleared,636,2010
Reported,1785,2011
Cleared,784,2011
Reported,1864,2012
Cleared,407,2012
Reported,2192,2013
Cleared,574,2013
Reported,1777,2014
Cleared,367,2014
Reported,1986,2015
Cleared,233,2015
Reported,2232,2016
Cleared,255,2016
Reported,2298,2017
Cleared,375,2017
Reported,1767,2018
Cleared,277,2018
