year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,TXSPD0000,5393,2701,180,124,2683,843,1706,1207,78198,11158,573,37,24531,3642,46163,6488,7504,1028
1986,TXSPD0000,6237,3047,162,97,3262,1053,2008,1379,93972,13761,718,37,29194,5390,56648,7058,8130,1313
1987,TXSPD0000,6092,3210,174,86,3253,1159,1816,1455,112856,15585,864,40,33041,5967,66198,7465,13617,2153
1988,TXSPD0000,5273,3051,143,98,2859,1143,1736,1423,111500,16102,916,50,27673,4768,70626,9153,13201,2181
1989,TXSPD0000,5253,2889,168,88,2710,974,1898,1417,115515,16571,899,47,28467,5517,71785,8877,15263,2177
1990,TXSPD0000,5730,3151,208,112,2864,1104,2228,1564,111044,13842,846,54,26015,5125,70150,7288,14879,1429
1991,TXSPD0000,7573,3353,208,111,3778,1162,2889,1587,109913,7477,1015,19,24941,4330,70559,1454,14413,1693
1992,TXSPD0000,7131,3192,219,98,3485,987,2811,1655,102003,4033,1040,14,21967,2370,65314,730,14722,933
1993,TXSPD0000,6725,3100,220,100,2979,889,2973,1632,90946,7056,958,12,17866,2003,61284,4062,11796,991
1994,TXSPD0000,6471,2666,194,153,2781,621,2931,1445,81208,10418,865,3,16422,1919,54910,7272,9876,1227
1995,TXSPD0000,5178,2359,142,80,2345,570,2033,1199,74753,9589,834,15,13961,1587,52370,6768,8422,1234
1996,TXSPD0000,4741,2103,117,64,2350,539,1637,1013,82969,9962,891,69,13685,1677,60488,7005,8796,1280
1997,TXSPD0000,4170,1823,95,61,2036,493,1421,895,79401,7454,798,58,13230,964,57555,5588,8616,902
1998,TXSPD0000,4969,1865,89,91,1780,415,2366,911,72439,8526,633,41,11984,731,53301,6843,7154,952
1999,TXSPD0000,6340,2058,96,65,1674,375,3971,1237,70437,7460,626,48,10944,646,53898,6082,5595,732
2000,TXSPD0000,7908,1200,85,41,1699,295,5668,696,78424,6877,654,41,11604,565,60952,5887,5868,425
2001,TXSPD0000,9546,1534,100,97,2146,480,6808,827,86952,7375,576,49,14018,715,66694,6245,6240,415
2002,TXSPD0000,9769,2475,100,74,2114,369,7091,1886,84363,8831,533,34,13368,700,65251,7364,5744,767
2003,TXSPD0000,7252,2503,85,57,2060,411,4570,1799,83000,9237,540,17,14619,756,62179,8044,6202,437
2004,TXSPD0000,7846,2304,94,73,2127,326,4948,1680,81255,8687,476,7,14720,710,60868,7474,5667,503
2005,TXSPD0000,8007,2869,86,60,2154,388,5174,2165,80987,8485,424,10,14365,695,60649,7356,5973,434
2006,TXSPD0000,7977,2193,119,48,2321,450,5023,1465,78621,8792,484,7,14629,856,57377,7410,6615,526
2007,TXSPD0000,7327,2666,122,92,2445,421,4125,1923,84143,10361,459,23,16750,763,60669,8976,6724,622
2008,TXSPD0000,9699,3232,116,91,2743,410,6416,2570,97564,10731,521,45,18908,808,70651,9323,8005,600
2009,TXSPD0000,7844,3026,99,86,2683,492,4434,2278,91651,11359,416,22,18164,991,67684,9920,5803,448
2010,TXSPD0000,8434,4002,79,72,2360,636,5528,3115,88353,12788,327,17,17301,975,65395,11451,5657,362
2011,TXSPD0000,7038,3345,89,71,1785,784,4672,2298,80868,9604,209,13,15334,857,59641,8416,5893,331
2012,TXSPD0000,6943,2088,89,62,1864,407,4441,1426,82668,9306,245,14,15668,751,60633,8215,6367,340
2013,TXSPD0000,8828,3243,72,54,2192,574,5901,2359,79994,9573,315,16,14850,961,58567,8143,6577,469
2014,TXSPD0000,7704,2163,103,79,1777,367,4747,1481,77392,9250,298,7,12344,627,57908,8239,7140,384
2015,TXSPD0000,8594,1819,94,81,1986,233,5465,1334,73611,7487,261,9,11632,378,55803,6853,6176,256
2016,TXSPD0000,10754,2071,149,99,2232,255,7183,1567,77786,5826,254,15,12235,297,58318,5249,7233,280
2017,TXSPD0000,10759,2274,124,89,2298,375,7067,1598,73676,5681,184,13,11722,333,55090,4810,6864,538
2018,TXSPD0000,9647,2292,107,74,1767,277,6427,1747,61478,5848,153,17,9118,326,46271,4833,6089,689
