Series,Year,Rate
1985,Male Officers,1206
1985,Female Officers,67
1985,Male Civilians,79
1985,Female Civilians,207
1986,Male Officers,1563
1986,Female Officers,74
1986,Male Civilians,40
1986,Female Civilians,305
1987,Male Officers,1316
1987,Female Officers,78
1987,Male Civilians,89
1987,Female Civilians,212
1988,Male Officers,1369
1988,Female Officers,82
1988,Male Civilians,94
1988,Female Civilians,224
1989,Male Officers,1405
1989,Female Officers,81
1989,Male Civilians,86
1989,Female Civilians,240
1990,Male Officers,1476
1990,Female Officers,89
1990,Male Civilians,87
1990,Female Civilians,203
1991,Male Officers,1481
1991,Female Officers,90
1991,Male Civilians,107
1991,Female Civilians,219
1992,Male Officers,1454
1992,Female Officers,91
1992,Male Civilians,156
1992,Female Civilians,225
1993,Male Officers,1561
1993,Female Officers,101
1993,Male Civilians,142
1993,Female Civilians,219
1994,Male Officers,1599
1994,Female Officers,97
1994,Male Civilians,150
1994,Female Civilians,237
1995,Male Officers,1704
1995,Female Officers,105
1995,Male Civilians,111
1995,Female Civilians,95
1996,Male Officers,1761
1996,Female Officers,107
1996,Male Civilians,172
1996,Female Civilians,264
1997,Male Officers,1752
1997,Female Officers,112
1997,Male Civilians,179
1997,Female Civilians,278
1998,Male Officers,1762
1998,Female Officers,113
1998,Male Civilians,193
1998,Female Civilians,301
1999,Male Officers,1751
1999,Female Officers,113
1999,Male Civilians,195
1999,Female Civilians,307
2000,Male Officers,1825
2000,Female Officers,122
2000,Male Civilians,196
2000,Female Civilians,326
2001,Male Officers,1852
2001,Female Officers,122
2001,Male Civilians,182
2001,Female Civilians,342
2002,Male Officers,1898
2002,Female Officers,138
2002,Male Civilians,189
2002,Female Civilians,318
2003,Male Officers,1865
2003,Female Officers,144
2003,Male Civilians,177
2003,Female Civilians,318
2004,Male Officers,1847
2004,Female Officers,148
2004,Male Civilians,174
2004,Female Civilians,310
2005,Male Officers,1826
2005,Female Officers,149
2005,Male Civilians,183
2005,Female Civilians,324
2006,Male Officers,1843
2006,Female Officers,150
2006,Male Civilians,193
2006,Female Civilians,330
2007,Male Officers,1950
2007,Female Officers,182
2007,Male Civilians,264
2007,Female Civilians,377
2008,Male Officers,1967
2008,Female Officers,188
2008,Male Civilians,266
2008,Female Civilians,398
2009,Male Officers,2057
2009,Female Officers,202
2009,Male Civilians,184
2009,Female Civilians,366
2010,Male Officers,2084
2010,Female Officers,219
2010,Male Civilians,253
2010,Female Civilians,393
2011,Male Officers,2102
2011,Female Officers,222
2011,Male Civilians,265
2011,Female Civilians,413
2012,Male Officers,2060
2012,Female Officers,216
2012,Male Civilians,236
2012,Female Civilians,371
2013,Male Officers,2090
2013,Female Officers,222
2013,Male Civilians,217
2013,Female Civilians,360
2014,Male Officers,2155
2014,Female Officers,233
2014,Male Civilians,172
2014,Female Civilians,335
2015,Male Officers,1983
2015,Female Officers,208
2015,Male Civilians,187
2015,Female Civilians,330
2016,Male Officers,1944
2016,Female Officers,208
2016,Male Civilians,274
2016,Female Civilians,393
2017,Male Officers,2071
2017,Female Officers,234
2017,Male Civilians,211
2017,Female Civilians,413
2018,Male Officers,2108
2018,Female Officers,244
2018,Male Civilians,206
2018,Female Civilians,433
