Label,Value,Year
Reported,317,1985
Cleared,235,1985
Reported,386,1986
Cleared,308,1986
Reported,354,1987
Cleared,218,1987
Reported,338,1988
Cleared,249,1988
Reported,389,1989
Cleared,297,1989
Reported,391,1990
Cleared,278,1990
Reported,357,1991
Cleared,264,1991
Reported,417,1992
Cleared,282,1992
Reported,343,1993
Cleared,270,1993
Reported,361,1994
Cleared,245,1994
Reported,348,1995
Cleared,242,1995
Reported,335,1996
Cleared,249,1996
Reported,375,1997
Cleared,224,1997
Reported,368,1998
Cleared,259,1998
Reported,236,1999
Cleared,141,1999
Reported,15,2000
Cleared,7,2000
Reported,42,2001
Cleared,15,2001
Reported,130,2002
Cleared,56,2002
Reported,235,2003
Cleared,92,2003
Reported,206,2004
Cleared,52,2004
Reported,206,2005
Cleared,54,2005
Reported,278,2006
Cleared,76,2006
Reported,309,2007
Cleared,114,2007
Reported,309,2008
Cleared,109,2008
Reported,268,2009
Cleared,148,2009
Reported,438,2010
Cleared,286,2010
Reported,385,2011
Cleared,263,2011
Reported,384,2012
Cleared,286,2012
Reported,412,2013
Cleared,282,2013
Reported,400,2014
Cleared,295,2014
Reported,387,2015
Cleared,261,2015
Reported,398,2016
Cleared,242,2016
Reported,416,2017
Cleared,262,2017
Reported,374,2018
Cleared,246,2018
