Label,Value,Year
Reported,291,1985
Cleared,86,1985
Reported,294,1986
Cleared,83,1986
Reported,340,1987
Cleared,85,1987
Reported,293,1988
Cleared,52,1988
Reported,306,1989
Cleared,62,1989
Reported,198,1990
Cleared,51,1990
Reported,227,1991
Cleared,124,1991
Reported,230,1992
Cleared,130,1992
Reported,228,1993
Cleared,87,1993
Reported,285,1994
Cleared,55,1994
Reported,218,1995
Cleared,69,1995
Reported,192,1996
Cleared,30,1996
Reported,208,1997
Cleared,78,1997
Reported,133,1998
Cleared,39,1998
Reported,83,1999
Cleared,38,1999
Reported,0,2000
Cleared,0,2000
Reported,18,2001
Cleared,3,2001
Reported,85,2002
Cleared,11,2002
Reported,120,2003
Cleared,13,2003
Reported,110,2004
Cleared,15,2004
Reported,126,2005
Cleared,17,2005
Reported,123,2006
Cleared,12,2006
Reported,136,2007
Cleared,22,2007
Reported,106,2008
Cleared,10,2008
Reported,75,2009
Cleared,11,2009
Reported,44,2010
Cleared,12,2010
Reported,73,2011
Cleared,16,2011
Reported,70,2012
Cleared,11,2012
Reported,32,2013
Cleared,11,2013
Reported,32,2014
Cleared,13,2014
Reported,39,2015
Cleared,11,2015
Reported,30,2016
Cleared,6,2016
Reported,26,2017
Cleared,7,2017
Reported,24,2018
Cleared,9,2018
