Label,Value,Year
Reported,1509,1985
Cleared,725,1985
Reported,1739,1986
Cleared,740,1986
Reported,2157,1987
Cleared,852,1987
Reported,2519,1988
Cleared,1039,1988
Reported,2292,1989
Cleared,1174,1989
Reported,2054,1990
Cleared,904,1990
Reported,1984,1991
Cleared,871,1991
Reported,1888,1992
Cleared,809,1992
Reported,1721,1993
Cleared,724,1993
Reported,1879,1994
Cleared,696,1994
Reported,1983,1995
Cleared,720,1995
Reported,2106,1996
Cleared,650,1996
Reported,1991,1997
Cleared,648,1997
Reported,1896,1998
Cleared,577,1998
Reported,1159,1999
Cleared,361,1999
Reported,313,2000
Cleared,18,2000
Reported,417,2001
Cleared,47,2001
Reported,1262,2002
Cleared,117,2002
Reported,1456,2003
Cleared,164,2003
Reported,1345,2004
Cleared,142,2004
Reported,1273,2005
Cleared,175,2005
Reported,1408,2006
Cleared,173,2006
Reported,1217,2007
Cleared,111,2007
Reported,1082,2008
Cleared,59,2008
Reported,1030,2009
Cleared,77,2009
Reported,978,2010
Cleared,230,2010
Reported,875,2011
Cleared,300,2011
Reported,804,2012
Cleared,254,2012
Reported,760,2013
Cleared,251,2013
Reported,748,2014
Cleared,261,2014
Reported,742,2015
Cleared,223,2015
Reported,815,2016
Cleared,260,2016
Reported,722,2017
Cleared,247,2017
Reported,817,2018
Cleared,229,2018
