Label,Value,Year
Legacy Rape Reported,57,1985
Legacy Rape Cleared,45,1985
Legacy Rape Reported,69,1986
Legacy Rape Cleared,49,1986
Legacy Rape Reported,68,1987
Legacy Rape Cleared,45,1987
Legacy Rape Reported,77,1988
Legacy Rape Cleared,48,1988
Legacy Rape Reported,64,1989
Legacy Rape Cleared,54,1989
Legacy Rape Reported,95,1990
Legacy Rape Cleared,62,1990
Legacy Rape Reported,72,1991
Legacy Rape Cleared,56,1991
Legacy Rape Reported,90,1992
Legacy Rape Cleared,68,1992
Legacy Rape Reported,100,1993
Legacy Rape Cleared,78,1993
Legacy Rape Reported,104,1994
Legacy Rape Cleared,79,1994
Legacy Rape Reported,77,1995
Legacy Rape Cleared,56,1995
Legacy Rape Reported,87,1996
Legacy Rape Cleared,50,1996
Legacy Rape Reported,61,1997
Legacy Rape Cleared,38,1997
Legacy Rape Reported,120,1998
Legacy Rape Cleared,65,1998
Legacy Rape Reported,66,1999
Legacy Rape Cleared,35,1999
Legacy Rape Reported,30,2000
Legacy Rape Cleared,6,2000
Legacy Rape Reported,32,2001
Legacy Rape Cleared,9,2001
Legacy Rape Reported,41,2002
Legacy Rape Cleared,16,2002
Legacy Rape Reported,55,2003
Legacy Rape Cleared,26,2003
Legacy Rape Reported,32,2004
Legacy Rape Cleared,11,2004
Legacy Rape Reported,57,2005
Legacy Rape Cleared,16,2005
Legacy Rape Reported,54,2006
Legacy Rape Cleared,19,2006
Legacy Rape Reported,59,2007
Legacy Rape Cleared,15,2007
Legacy Rape Reported,62,2008
Legacy Rape Cleared,21,2008
Legacy Rape Reported,98,2009
Legacy Rape Cleared,31,2009
Legacy Rape Reported,127,2010
Legacy Rape Cleared,45,2010
Legacy Rape Reported,100,2011
Legacy Rape Cleared,52,2011
Legacy Rape Reported,115,2012
Legacy Rape Cleared,44,2012
Revised Rape Reported,172,2013
Revised Rape Cleared,99,2013
Revised Rape Reported,159,2014
Revised Rape Cleared,93,2014
Revised Rape Reported,130,2015
Revised Rape Cleared,73,2015
Revised Rape Reported,183,2016
Revised Rape Cleared,74,2016
Revised Rape Reported,202,2017
Revised Rape Cleared,109,2017
Revised Rape Reported,181,2018
Revised Rape Cleared,104,2018
