Label,Value,Year
Reported,511,1985
Cleared,266,1985
Reported,495,1986
Cleared,211,1986
Reported,529,1987
Cleared,191,1987
Reported,548,1988
Cleared,235,1988
Reported,528,1989
Cleared,251,1989
Reported,490,1990
Cleared,219,1990
Reported,477,1991
Cleared,214,1991
Reported,473,1992
Cleared,172,1992
Reported,460,1993
Cleared,189,1993
Reported,428,1994
Cleared,184,1994
Reported,447,1995
Cleared,179,1995
Reported,487,1996
Cleared,167,1996
Reported,447,1997
Cleared,173,1997
Reported,383,1998
Cleared,154,1998
Reported,258,1999
Cleared,105,1999
Reported,107,2000
Cleared,11,2000
Reported,173,2001
Cleared,15,2001
Reported,301,2002
Cleared,35,2002
Reported,352,2003
Cleared,40,2003
Reported,354,2004
Cleared,38,2004
Reported,298,2005
Cleared,30,2005
Reported,418,2006
Cleared,49,2006
Reported,490,2007
Cleared,92,2007
Reported,343,2008
Cleared,72,2008
Reported,326,2009
Cleared,62,2009
Reported,383,2010
Cleared,136,2010
Reported,422,2011
Cleared,157,2011
Reported,343,2012
Cleared,124,2012
Reported,409,2013
Cleared,166,2013
Reported,400,2014
Cleared,164,2014
Reported,443,2015
Cleared,156,2015
Reported,461,2016
Cleared,162,2016
Reported,429,2017
Cleared,198,2017
Reported,350,2018
Cleared,155,2018
