year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,VA0510100,0,0,0,0,0,0,0,0,23,3,0,0,7,0,16,3,0,0
1986,VA0510100,1,0,0,0,1,0,0,0,24,15,0,0,7,7,17,8,0,0
1987,VA0510100,0,0,0,0,0,0,0,0,17,2,0,0,7,0,9,2,1,0
1988,VA0510100,3,2,0,0,0,0,3,2,47,11,0,0,26,6,21,5,0,0
1989,VA0510100,0,0,0,0,0,0,0,0,28,10,0,0,10,1,13,7,5,2
1990,VA0510100,0,0,0,0,0,0,0,0,28,22,0,0,9,15,18,7,1,0
1991,VA0510100,4,4,0,0,0,0,4,4,20,10,0,0,7,1,10,7,3,2
1992,VA0510100,2,1,0,0,0,0,2,1,26,13,0,0,6,2,14,7,6,4
1993,VA0510100,0,0,0,0,0,0,0,0,11,6,0,0,4,2,6,3,1,1
1994,VA0510100,1,1,0,0,0,0,1,1,18,2,0,0,8,0,8,2,2,0
1995,VA0510100,4,3,0,0,1,1,3,2,22,7,0,0,8,0,12,6,2,1
1996,VA0510100,4,4,0,0,0,0,4,4,26,11,0,0,8,0,18,11,0,0
1997,VA0510100,2,2,0,0,0,0,2,2,21,9,0,0,6,1,11,5,4,3
1998,VA0510100,7,6,0,0,3,3,4,3,19,5,0,0,7,0,9,4,3,1
1999,VA0510100,3,3,0,0,1,1,2,2,31,18,0,0,8,5,23,13,0,0
2007,VA0510100,2,1,0,0,1,1,1,0,9,0,0,0,0,0,9,0,0,0
2008,VA0510100,0,0,0,0,0,0,0,0,27,9,0,0,3,0,23,8,1,1
2009,VA0510100,2,1,0,0,0,0,1,1,26,4,0,0,9,0,15,4,2,0
2010,VA0510100,0,1,0,0,0,0,0,0,25,5,0,0,4,1,20,4,1,0
2011,VA0510100,2,1,0,0,0,0,2,1,57,28,0,0,6,2,50,26,1,0
2012,VA0510100,2,1,1,1,0,0,1,0,38,6,0,0,7,0,31,6,0,0
2013,VA0510100,3,1,0,0,1,1,0,0,35,8,0,0,2,0,33,8,0,0
2014,VA0510100,1,0,0,0,1,0,0,0,47,12,0,0,4,0,43,12,0,0
2015,VA0510100,0,0,0,0,0,0,0,0,42,13,0,0,6,2,34,11,2,0
2016,VA0510100,2,1,0,0,0,0,2,1,32,6,0,0,12,0,20,6,0,0
2017,VA0510100,1,0,0,0,0,0,1,0,34,8,0,0,5,0,24,8,5,0
2018,VA0510100,1,1,0,0,0,0,1,1,25,3,0,0,7,0,18,3,0,0
