Label,Value,Year
Reported,11,1990
Cleared,0,1990
Reported,33,1991
Cleared,4,1991
Reported,11,1992
Cleared,1,1992
Reported,17,1993
Cleared,7,1993
Reported,6,1994
Cleared,1,1994
Reported,12,1995
Cleared,2,1995
Reported,13,1996
Cleared,1,1996
Reported,8,1997
Cleared,4,1997
Reported,6,1998
Cleared,2,1998
Reported,18,1999
Cleared,2,1999
Reported,9,2001
Cleared,2,2001
Reported,8,2002
Cleared,3,2002
Reported,13,2003
Cleared,2,2003
Reported,22,2004
Cleared,8,2004
Reported,13,2005
Cleared,0,2005
Reported,11,2006
Cleared,1,2006
Reported,17,2007
Cleared,0,2007
Reported,15,2008
Cleared,1,2008
Reported,30,2009
Cleared,2,2009
Reported,18,2010
Cleared,1,2010
Reported,16,2011
Cleared,1,2011
Reported,30,2012
Cleared,2,2012
Reported,19,2013
Cleared,2,2013
Reported,4,2014
Cleared,0,2014
Reported,33,2015
Cleared,4,2015
Reported,24,2016
Cleared,1,2016
Reported,20,2017
Cleared,1,2017
Reported,27,2018
Cleared,3,2018
