Label,Value,Year
Reported,11,1990
Cleared,10,1990
Reported,5,1991
Cleared,5,1991
Reported,0,1992
Cleared,0,1992
Reported,1,1993
Cleared,0,1993
Reported,0,1994
Cleared,0,1994
Reported,1,1995
Cleared,1,1995
Reported,2,1996
Cleared,2,1996
Reported,0,1997
Cleared,0,1997
Reported,1,1998
Cleared,1,1998
Reported,1,1999
Cleared,1,1999
Reported,0,2001
Cleared,0,2001
Reported,0,2002
Cleared,0,2002
Reported,2,2003
Cleared,2,2003
Reported,2,2004
Cleared,2,2004
Reported,0,2005
Cleared,0,2005
Reported,3,2006
Cleared,2,2006
Reported,5,2007
Cleared,0,2007
Reported,6,2008
Cleared,1,2008
Reported,1,2009
Cleared,1,2009
Reported,3,2010
Cleared,1,2010
Reported,1,2011
Cleared,0,2011
Reported,2,2012
Cleared,0,2012
Reported,1,2013
Cleared,1,2013
Reported,3,2014
Cleared,0,2014
Reported,2,2015
Cleared,1,2015
Reported,2,2016
Cleared,1,2016
Reported,3,2017
Cleared,1,2017
Reported,1,2018
Cleared,1,2018
