Label,Value,Year
Reported,176,1985
Cleared,27,1985
Reported,191,1986
Cleared,41,1986
Reported,188,1987
Cleared,34,1987
Reported,190,1988
Cleared,52,1988
Reported,165,1989
Cleared,44,1989
Reported,208,1990
Cleared,52,1990
Reported,243,1991
Cleared,60,1991
Reported,293,1992
Cleared,64,1992
Reported,170,1993
Cleared,38,1993
Reported,227,1994
Cleared,49,1994
Reported,143,1995
Cleared,34,1995
Reported,143,1996
Cleared,28,1996
Reported,189,1997
Cleared,39,1997
Reported,178,1999
Cleared,31,1999
Reported,166,2000
Cleared,32,2000
Reported,213,2001
Cleared,51,2001
Reported,192,2002
Cleared,28,2002
Reported,163,2003
Cleared,19,2003
Reported,140,2004
Cleared,26,2004
Reported,121,2005
Cleared,14,2005
Reported,105,2006
Cleared,12,2006
Reported,124,2007
Cleared,21,2007
Reported,136,2008
Cleared,32,2008
Reported,123,2009
Cleared,14,2009
Reported,79,2010
Cleared,10,2010
Reported,84,2011
Cleared,8,2011
Reported,116,2012
Cleared,4,2012
Reported,107,2013
Cleared,13,2013
Reported,78,2014
Cleared,11,2014
Reported,80,2015
Cleared,7,2015
Reported,61,2016
Cleared,8,2016
Reported,76,2017
Cleared,11,2017
Reported,70,2018
Cleared,6,2018
