Label,Value,Year
Reported,15,1985
Cleared,11,1985
Reported,11,1986
Cleared,8,1986
Reported,12,1987
Cleared,8,1987
Reported,4,1988
Cleared,2,1988
Reported,11,1989
Cleared,8,1989
Reported,7,1990
Cleared,6,1990
Reported,10,1991
Cleared,6,1991
Reported,11,1992
Cleared,5,1992
Reported,9,1993
Cleared,7,1993
Reported,13,1994
Cleared,8,1994
Reported,8,1995
Cleared,4,1995
Reported,7,1996
Cleared,4,1996
Reported,10,1997
Cleared,7,1997
Reported,10,1999
Cleared,2,1999
Reported,8,2000
Cleared,5,2000
Reported,5,2001
Cleared,3,2001
Reported,11,2002
Cleared,8,2002
Reported,5,2003
Cleared,2,2003
Reported,6,2004
Cleared,6,2004
Reported,13,2005
Cleared,10,2005
Reported,4,2006
Cleared,1,2006
Reported,7,2007
Cleared,4,2007
Reported,11,2008
Cleared,7,2008
Reported,12,2009
Cleared,8,2009
Reported,16,2010
Cleared,7,2010
Reported,24,2011
Cleared,15,2011
Reported,23,2012
Cleared,16,2012
Reported,12,2013
Cleared,5,2013
Reported,5,2014
Cleared,1,2014
Reported,3,2015
Cleared,2,2015
Reported,3,2016
Cleared,3,2016
Reported,5,2017
Cleared,3,2017
Reported,7,2018
Cleared,4,2018
