year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,WI0540800,7,7,1,0,95,15,2,2,176,27,15,11,281,49,5,1,15,11
1986,WI0540800,8,6,2,1,100,13,1,1,191,41,11,8,301,63,2,1,11,8
1987,WI0540800,7,6,1,0,91,6,1,1,188,34,12,8,283,41,0,0,12,8
1988,WI0540800,2,2,0,0,91,21,0,0,190,52,4,2,292,81,2,0,4,2
1989,WI0540800,7,5,1,0,82,15,0,0,165,44,11,8,256,65,4,3,11,8
1990,WI0540800,4,4,1,0,53,5,0,0,208,52,7,6,272,64,2,1,7,6
1991,WI0540800,3,2,0,0,64,16,0,0,243,60,10,6,314,80,5,2,10,6
1992,WI0540800,7,3,0,0,108,10,0,0,293,64,11,5,414,83,3,1,11,5
1993,WI0540800,6,6,3,1,96,6,0,0,170,38,9,7,277,55,2,1,9,7
1994,WI0540800,6,4,5,0,48,5,0,0,227,49,13,8,280,58,6,3,13,8
1995,WI0540800,5,3,0,0,59,8,0,0,143,34,8,4,209,49,2,1,8,4
1996,WI0540800,5,4,1,0,52,5,0,0,143,28,7,4,209,44,2,0,7,4
1997,WI0540800,7,7,0,0,49,8,0,0,189,39,10,7,252,61,3,0,10,7
1999,WI0540800,3,2,1,0,76,5,0,0,178,31,10,2,262,44,5,0,10,2
2000,WI0540800,2,2,1,0,62,14,0,0,166,32,8,5,234,52,3,1,8,5
2001,WI0540800,4,3,2,1,70,4,0,0,213,51,5,3,294,62,1,0,5,3
2002,WI0540800,5,3,1,0,72,10,0,0,192,28,11,8,279,49,5,4,11,8
2003,WI0540800,3,2,2,0,45,4,0,0,163,19,5,2,218,31,1,0,5,2
2004,WI0540800,5,5,3,2,46,9,0,0,140,26,6,6,203,41,0,0,6,6
2005,WI0540800,9,8,4,1,52,2,0,0,121,14,13,10,181,18,1,1,13,10
2006,WI0540800,1,0,2,1,47,3,0,0,105,12,4,1,156,17,3,1,4,1
2007,WI0540800,4,4,2,0,30,3,0,0,124,21,7,4,163,27,2,0,7,4
2008,WI0540800,4,2,2,1,40,11,0,0,136,32,11,7,188,46,3,3,11,7
2009,WI0540800,6,5,0,0,40,4,0,0,123,14,12,8,174,22,5,2,12,8
2010,WI0540800,9,5,0,0,52,5,0,0,79,10,16,7,134,16,3,0,16,7
2011,WI0540800,21,15,2,0,31,1,0,0,84,8,24,15,118,10,3,0,24,15
2012,WI0540800,13,11,0,0,32,5,0,0,116,4,23,16,154,9,9,5,23,16
2013,WI0540800,8,4,6,1,45,4,0,0,107,13,12,5,159,17,2,0,12,5
2014,WI0540800,4,1,0,0,26,1,0,0,78,11,5,1,110,15,1,0,5,1
2015,WI0540800,2,1,0,0,26,2,1,1,80,7,3,2,111,12,0,0,3,2
2016,WI0540800,3,3,0,0,26,1,0,0,61,8,3,3,92,12,0,0,3,3
2017,WI0540800,2,3,0,0,27,1,0,0,76,11,5,3,107,13,1,0,5,3
2018,WI0540800,5,2,0,0,25,0,0,0,70,6,7,4,103,7,1,1,7,4
