Series,Year,Rate
1985,Male Officers,52
1985,Female Officers,1
1985,Male Civilians,4
1985,Female Civilians,10
1986,Male Officers,56
1986,Female Officers,1
1986,Male Civilians,4
1986,Female Civilians,10
1987,Male Officers,56
1987,Female Officers,1
1987,Male Civilians,5
1987,Female Civilians,11
1988,Male Officers,57
1988,Female Officers,2
1988,Male Civilians,5
1988,Female Civilians,12
1989,Male Officers,57
1989,Female Officers,3
1989,Male Civilians,3
1989,Female Civilians,14
1990,Male Officers,58
1990,Female Officers,3
1990,Male Civilians,2
1990,Female Civilians,17
1991,Male Officers,59
1991,Female Officers,3
1991,Male Civilians,4
1991,Female Civilians,17
1992,Male Officers,60
1992,Female Officers,3
1992,Male Civilians,5
1992,Female Civilians,15
1993,Male Officers,61
1993,Female Officers,2
1993,Male Civilians,4
1993,Female Civilians,17
1994,Male Officers,59
1994,Female Officers,3
1994,Male Civilians,5
1994,Female Civilians,16
1995,Male Officers,60
1995,Female Officers,2
1995,Male Civilians,5
1995,Female Civilians,16
1996,Male Officers,60
1996,Female Officers,3
1996,Male Civilians,4
1996,Female Civilians,17
1997,Male Officers,58
1997,Female Officers,3
1997,Male Civilians,4
1997,Female Civilians,17
1998,Male Officers,57
1998,Female Officers,4
1998,Male Civilians,3
1998,Female Civilians,19
1999,Male Officers,56
1999,Female Officers,4
1999,Male Civilians,4
1999,Female Civilians,18
2000,Male Officers,54
2000,Female Officers,6
2000,Male Civilians,4
2000,Female Civilians,18
2001,Male Officers,56
2001,Female Officers,6
2001,Male Civilians,5
2001,Female Civilians,18
2002,Male Officers,56
2002,Female Officers,4
2002,Male Civilians,5
2002,Female Civilians,18
2003,Male Officers,56
2003,Female Officers,4
2003,Male Civilians,5
2003,Female Civilians,18
2004,Male Officers,58
2004,Female Officers,5
2004,Male Civilians,7
2004,Female Civilians,23
2005,Male Officers,58
2005,Female Officers,5
2005,Male Civilians,2
2005,Female Civilians,16
2006,Male Officers,57
2006,Female Officers,5
2006,Male Civilians,3
2006,Female Civilians,16
2007,Male Officers,59
2007,Female Officers,5
2007,Male Civilians,2
2007,Female Civilians,16
2008,Male Officers,60
2008,Female Officers,5
2008,Male Civilians,2
2008,Female Civilians,16
2009,Male Officers,59
2009,Female Officers,6
2009,Male Civilians,2
2009,Female Civilians,15
2010,Male Officers,59
2010,Female Officers,6
2010,Male Civilians,2
2010,Female Civilians,15
2011,Male Officers,56
2011,Female Officers,8
2011,Male Civilians,2
2011,Female Civilians,15
2012,Male Officers,56
2012,Female Officers,8
2012,Male Civilians,1
2012,Female Civilians,16
2013,Male Officers,54
2013,Female Officers,8
2013,Male Civilians,1
2013,Female Civilians,16
2014,Male Officers,51
2014,Female Officers,9
2014,Male Civilians,1
2014,Female Civilians,16
2015,Male Officers,59
2015,Female Officers,10
2015,Male Civilians,2
2015,Female Civilians,15
2016,Male Officers,59
2016,Female Officers,11
2016,Male Civilians,2
2016,Female Civilians,16
2017,Male Officers,59
2017,Female Officers,11
2017,Male Civilians,2
2017,Female Civilians,15
2018,Male Officers,57
2018,Female Officers,9
2018,Male Civilians,2
2018,Female Civilians,14
