Label,Value,Year
Reported,5,1985
Cleared,5,1985
Reported,4,1986
Cleared,5,1986
Reported,5,1987
Cleared,5,1987
Reported,5,1988
Cleared,5,1988
Reported,7,1989
Cleared,7,1989
Reported,7,1990
Cleared,5,1990
Reported,3,1991
Cleared,3,1991
Reported,7,1992
Cleared,13,1992
Reported,2,1993
Cleared,3,1993
Reported,6,1994
Cleared,3,1994
Reported,3,1995
Cleared,6,1995
Reported,4,1996
Cleared,4,1996
Reported,5,1997
Cleared,1,1997
Reported,7,1998
Cleared,1,1998
Reported,2,2000
Cleared,1,2000
Reported,2,2001
Cleared,2,2001
Reported,4,2002
Cleared,2,2002
Reported,4,2003
Cleared,1,2003
Reported,4,2004
Cleared,2,2004
Reported,11,2005
Cleared,6,2005
Reported,0,2006
Cleared,0,2006
Reported,3,2007
Cleared,2,2007
Reported,7,2008
Cleared,6,2008
Reported,4,2009
Cleared,2,2009
Reported,1,2010
Cleared,1,2010
Reported,2,2011
Cleared,2,2011
Reported,2,2012
Cleared,2,2012
Reported,1,2013
Cleared,0,2013
Reported,0,2014
Cleared,0,2014
Reported,4,2016
Cleared,3,2016
Reported,18,2017
Cleared,13,2017
