Label,Value,Year
Reported,537,1985
Cleared,373,1985
Reported,476,1986
Cleared,341,1986
Reported,322,1987
Cleared,199,1987
Reported,340,1988
Cleared,206,1988
Reported,305,1989
Cleared,130,1989
Reported,318,1990
Cleared,102,1990
Reported,306,1991
Cleared,120,1991
Reported,369,1992
Cleared,117,1992
Reported,304,1993
Cleared,107,1993
Reported,355,1994
Cleared,98,1994
Reported,281,1995
Cleared,81,1995
Reported,312,1996
Cleared,82,1996
Reported,318,1997
Cleared,32,1997
Reported,268,1998
Cleared,23,1998
Reported,353,2000
Cleared,67,2000
Reported,288,2001
Cleared,45,2001
Reported,250,2002
Cleared,44,2002
Reported,286,2003
Cleared,45,2003
Reported,300,2004
Cleared,45,2004
Reported,325,2005
Cleared,58,2005
Reported,351,2006
Cleared,70,2006
Reported,367,2007
Cleared,67,2007
Reported,308,2008
Cleared,60,2008
Reported,320,2009
Cleared,64,2009
Reported,229,2010
Cleared,35,2010
Reported,242,2011
Cleared,62,2011
Reported,248,2012
Cleared,54,2012
Reported,119,2013
Cleared,19,2013
Reported,0,2014
Cleared,0,2014
Reported,381,2016
Cleared,87,2016
Reported,519,2017
Cleared,104,2017
