year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1999,WV0140500,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2000,WV0140500,1,1,0,0,1,0,0,0,4,0,1,0,6,0,0,0,1,1
2001,WV0140500,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0
2002,WV0140500,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0
2004,WV0140500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,WV0140500,0,0,0,0,2,0,0,0,5,1,0,0,7,1,0,0,0,0
2006,WV0140500,0,0,0,0,1,0,0,0,10,1,0,0,11,1,1,0,1,0
2007,WV0140500,0,0,0,0,1,0,0,0,3,1,0,0,4,1,0,0,0,0
2008,WV0140500,1,1,0,0,1,0,0,0,2,0,0,0,3,0,0,0,1,1
2011,WV0140500,0,0,0,0,2,0,0,0,3,0,0,0,5,0,1,0,1,0
